product_info_id,group_product_id,group_product_code,group_product_name,product_code,product_name,is_highlight,package_id,lifecare_price,product_info,file_path,name,specification,group_name,power,weight,volume
676394,542,DM0000541,bếp từ,M&EGD000197,bếp từ đôi aio smart,0.0,244591,5672000,"• Bếp từ đôi AIO có thiết kế sang trọng rất phù hợp với các căn bếp có phong cách hiện đại. Sản phẩm sử dụng mặt kính cao cấp, chịu lực, chịu nhiệt tốt. Bếp được trang bị bảng điều khiển cảm ứng cùng những tính năng an toàn tiện lợi giúp bạn nấu nướng thuận tiện và nhanh chóng, tiết kiệm tối đa điện năng và thời gian.",//input/mobile_images/2024/7/1/799/BẾP TỪ ĐÔI AIOSMART AIO_AIOHB03U22B_4400.png,BẾP TỪ ĐÔI AIOSMART AIO_AIOHB03U22B_4400.png,• công suất: 4400w• trái: 2200w - phải: 2200w• chất liệu mặt bếp: kính vitro ceramic• bảng điều khiển: cảm ứng• loại nồi nấu: chỉ sử dụng loại nồi có đế nhiễm từ• bề mặt: 730mm x 430mm• độ cao: 75mm• điện áp: 220v-240vac• độ dài dây nguồn: 1.5m• đường kính vùng nấu: 190mm• khóa an toàn: có• hẹn giờ: có• tính năng chống tràn: có• tính năng nhận diện nồi: có,bếp từ đôi aio smart,4400,0,0
690174,542,DM0000541,bếp từ,067003000001,combo bếp từ đơn aio smart và nồi,,244187,1156000,"Thiết kế - Chất liệu mặt bếp 
- Thiết kế kiểu bếp từ đơn nhỏ gọn, dễ dàng sắp đặt ở nhiều vị trí trong phòng, có thể đặt trực tiếp trên bàn ăn để thưởng thức các món lẩu, cháo nóng hổi.
- Mặt bếp làm từ kính Microcrystalline , sang trọng, có khả năng chịu lực tác động tốt, bề mặt dễ dàng lau chùi mà không tốn nhiều sức lực, thời gian.
Tiện ích 
- 6 chế độ nấu cài đặt sẵn: súp, nấu nước, BBQ, chiên, lẩu, hấp, người dùng tùy chọn linh hoạt theo nhu cầu, công thức và nguyên liệu nấu ăn của mình.
- Bếp từ AIO Smart có chức năng hẹn giờ cho phép bạn tùy chỉnh thời gian chế biến phù hợp với từng món ăn, để thức ăn chín ngon, chuẩn vị.  
Tính năng an toàn
- Khóa bảng điều khiển: khi kích hoạt sẽ vô hiệu hóa toàn bộ bảng điều khiển, ngăn người dùng thay đổi cài đặt trước đó và giúp tăng cường bảo vệ gia đình có trẻ nhỏ.
- Tự ngắt khi bếp nóng quá tải.",//input/mobile_images/2024/7/6/982/BẾP TỪ ĐƠN AIO SMART (kèm nồi) AIOHB02S23B2100.png,BẾP TỪ ĐƠN AIO SMART (kèm nồi) AIOHB02S23B2100.png,"công suất vùng nấu:2100w điện áp:187~242vac, 50/60hz kích thước vùng nấu:200mm kiểu lắp đặt:43mm kiểu lắp đặt:dương bảng điều khiển:cảm ứng chất liệu mặt bếp:kính microcrystalline (cường lực, chịu nhiệt) sản xuất tại:trung quốc năm ra mắt:2024 chế độ nấu tự động:ninh, hấp, đun nước, chiên, xào, lẩu loại nồi nấu:nồi inox đáy 1 lớp tiện ích:sẵn 6 chương trình nấu, hẹn giờ, nhận diện nồi, tạm dừng. tính năng an toàn:khóa phím, chống nhiễu điện tử, tự ngắt khi điện áp tăng giảm đột ngột quá ngưỡng tiêu chuẩn vnqcvn04 (an toàn điện), qcvn09 (bức xạ điện từ) chiều dài dây điện:2 mét kích thước sản phẩm360x290x43mm khối lượng sản phẩm:2,4kg",combo bếp từ đơn aio smart và nồi,2100,4,0
659035,542,DM0000541,bếp từ,M&EGD000198,bộ nồi inox sơn đỏ (3 cái/bộ)-aio smart,0.0,244575,1188000,"Bộ nồi Inox AIO Smart thiết kế sang trọng, chất liệu an toàn sức khỏe, với 3 kích thước nồi khác nhau hỗ trợ người dùng nấu đa dạng món ăn, xứng đáng có mặt trong mọi căn bếp gia đình.",//input/mobile_images/2024/7/1/762/bộ nồi.jpeg,bộ nồi.jpeg,"chất liệu: inox 3041 bộ sản phẩm bao gồm: 3 cái (đường kính 18 cm, đường kính 20 cm, đường kính 24 cm)đáy nồi: 3 lớpvung nồi: chất liệu kínhcó tay cầm",bếp từ bộ nồi inox sơn đỏ (3 cái/bộ)-aio smart,0,0,0
